movieId,userId,rating,title,genres
83411,471,5.0763397,Cops (1922),Comedy
67504,471,5.0763397,Land of Silence and Darkness (Land des Schweigens und der Dunkelheit) (1971),Documentary
83318,471,5.0763397,"Goat, The (1921)",Comedy
65037,471,4.935619,Ben X (2007),Drama
132333,471,4.7528434,Seve (2014),Documentary|Drama
67504,463,5.065177,Land of Silence and Darkness (Land des Schweigens und der Dunkelheit) (1971),Documentary
83411,463,5.065177,Cops (1922),Comedy
83318,463,5.065177,"Goat, The (1921)",Comedy
54328,463,4.5594735,My Best Friend (Mon meilleur ami) (2006),Comedy
26400,463,4.558659,Gates of Heaven (1978),Documentary
65037,496,5.208692,Ben X (2007),Drama
67504,496,5.083717,Land of Silence and Darkness (Land des Schweigens und der Dunkelheit) (1971),Documentary
83411,496,5.083717,Cops (1922),Comedy
83318,496,5.083717,"Goat, The (1921)",Comedy
106471,496,5.065717,One Piece Film: Strong World (2009),Action|Adventure|Animation|Comedy|Fantasy
67504,148,5.677142,Land of Silence and Darkness (Land des Schweigens und der Dunkelheit) (1971),Documentary
83411,148,5.677142,Cops (1922),Comedy
83318,148,5.677142,"Goat, The (1921)",Comedy
65037,148,5.1221895,Ben X (2007),Drama
26400,148,5.109428,Gates of Heaven (1978),Documentary
67504,540,5.332522,Land of Silence and Darkness (Land des Schweigens und der Dunkelheit) (1971),Documentary
83411,540,5.332522,Cops (1922),Comedy
83318,540,5.332522,"Goat, The (1921)",Comedy
65037,540,5.2872047,Ben X (2007),Drama
54328,540,5.226061,My Best Friend (Mon meilleur ami) (2006),Comedy
67504,392,4.417254,Land of Silence and Darkness (Land des Schweigens und der Dunkelheit) (1971),Documentary
83411,392,4.417254,Cops (1922),Comedy
83318,392,4.417254,"Goat, The (1921)",Comedy
65037,392,4.136729,Ben X (2007),Drama
93320,392,4.0388713,Trailer Park Boys (1999),Comedy|Crime
67504,243,4.9919224,Land of Silence and Darkness (Land des Schweigens und der Dunkelheit) (1971),Documentary
83411,243,4.9919224,Cops (1922),Comedy
83318,243,4.9919224,"Goat, The (1921)",Comedy
65037,243,4.665751,Ben X (2007),Drama
92494,243,4.522812,Dylan Moran: Monster (2004),Comedy|Documentary
67504,623,5.5070624,Land of Silence and Darkness (Land des Schweigens und der Dunkelheit) (1971),Documentary
